;sent:;received;sent_data;sent_timestamp;sent_packet;received_data;received_timestamp;received_packet;latency
36;20180516,23:32:48.637,sent packet '37';20180516,23:32:48.651,unicast message '37' received from 2D:C8;20180516;23:32:48.637;sent packet '37';20180516;23:32:48.651;unicast message '37' received from 2D:C8;14000000
37;20180516,23:32:49.633,sent packet '38';20180516,23:32:49.647,unicast message '38' received from 2D:C8;20180516;23:32:49.633;sent packet '38';20180516;23:32:49.647;unicast message '38' received from 2D:C8;14000000
38;20180516,23:32:50.631,sent packet '39';20180516,23:32:50.644,unicast message '39' received from 2D:C8;20180516;23:32:50.631;sent packet '39';20180516;23:32:50.644;unicast message '39' received from 2D:C8;13000000
39;20180516,23:32:51.627,sent packet '40';20180516,23:32:51.641,unicast message '40' received from 2D:C8;20180516;23:32:51.627;sent packet '40';20180516;23:32:51.641;unicast message '40' received from 2D:C8;14000000
40;20180516,23:32:52.623,sent packet '41';20180516,23:32:52.637,unicast message '41' received from 2D:C8;20180516;23:32:52.623;sent packet '41';20180516;23:32:52.637;unicast message '41' received from 2D:C8;14000000
41;20180516,23:32:53.620,sent packet '42';20180516,23:32:53.633,unicast message '42' received from 2D:C8;20180516;23:32:53.620;sent packet '42';20180516;23:32:53.633;unicast message '42' received from 2D:C8;13000000
42;20180516,23:32:54.616,sent packet '43';20180516,23:32:54.630,unicast message '43' received from 2D:C8;20180516;23:32:54.616;sent packet '43';20180516;23:32:54.630;unicast message '43' received from 2D:C8;14000000
43;20180516,23:32:55.613,sent packet '44';20180516,23:32:55.626,unicast message '44' received from 2D:C8;20180516;23:32:55.613;sent packet '44';20180516;23:32:55.626;unicast message '44' received from 2D:C8;13000000
44;20180516,23:32:56.609,sent packet '45';20180516,23:32:56.623,unicast message '45' received from 2D:C8;20180516;23:32:56.609;sent packet '45';20180516;23:32:56.623;unicast message '45' received from 2D:C8;14000000
45;20180516,23:32:57.606,sent packet '46';20180516,23:32:57.620,unicast message '46' received from 2D:C8;20180516;23:32:57.606;sent packet '46';20180516;23:32:57.620;unicast message '46' received from 2D:C8;14000000
46;20180516,23:32:58.602,sent packet '47';20180516,23:32:58.616,unicast message '47' received from 2D:C8;20180516;23:32:58.602;sent packet '47';20180516;23:32:58.616;unicast message '47' received from 2D:C8;14000000
47;20180516,23:32:59.599,sent packet '48';20180516,23:32:59.612,unicast message '48' received from 2D:C8;20180516;23:32:59.599;sent packet '48';20180516;23:32:59.612;unicast message '48' received from 2D:C8;13000000
48;20180516,23:33:00.596,sent packet '49';20180516,23:33:00.609,unicast message '49' received from 2D:C8;20180516;23:33:00.596;sent packet '49';20180516;23:33:00.609;unicast message '49' received from 2D:C8;13000000
49;20180516,23:33:01.591,sent packet '50';20180516,23:33:01.606,unicast message '50' received from 2D:C8;20180516;23:33:01.591;sent packet '50';20180516;23:33:01.606;unicast message '50' received from 2D:C8;15000000
50;20180516,23:33:02.588,sent packet '51';20180516,23:33:02.602,unicast message '51' received from 2D:C8;20180516;23:33:02.588;sent packet '51';20180516;23:33:02.602;unicast message '51' received from 2D:C8;14000000
51;20180516,23:33:03.585,sent packet '52';20180516,23:33:03.599,unicast message '52' received from 2D:C8;20180516;23:33:03.585;sent packet '52';20180516;23:33:03.599;unicast message '52' received from 2D:C8;14000000
52;20180516,23:33:04.581,sent packet '53';20180516,23:33:04.595,unicast message '53' received from 2D:C8;20180516;23:33:04.581;sent packet '53';20180516;23:33:04.595;unicast message '53' received from 2D:C8;14000000
53;20180516,23:33:05.578,sent packet '54';20180516,23:33:05.592,unicast message '54' received from 2D:C8;20180516;23:33:05.578;sent packet '54';20180516;23:33:05.592;unicast message '54' received from 2D:C8;14000000
54;20180516,23:33:06.576,sent packet '55';20180516,23:33:06.589,unicast message '55' received from 2D:C8;20180516;23:33:06.576;sent packet '55';20180516;23:33:06.589;unicast message '55' received from 2D:C8;13000000
55;20180516,23:33:07.571,sent packet '56';20180516,23:33:07.585,unicast message '56' received from 2D:C8;20180516;23:33:07.571;sent packet '56';20180516;23:33:07.585;unicast message '56' received from 2D:C8;14000000
56;20180516,23:33:08.568,sent packet '57';20180516,23:33:08.582,unicast message '57' received from 2D:C8;20180516;23:33:08.568;sent packet '57';20180516;23:33:08.582;unicast message '57' received from 2D:C8;14000000
57;20180516,23:33:09.564,sent packet '58';20180516,23:33:09.578,unicast message '58' received from 2D:C8;20180516;23:33:09.564;sent packet '58';20180516;23:33:09.578;unicast message '58' received from 2D:C8;14000000
58;20180516,23:33:10.560,sent packet '59';20180516,23:33:10.574,unicast message '59' received from 2D:C8;20180516;23:33:10.560;sent packet '59';20180516;23:33:10.574;unicast message '59' received from 2D:C8;14000000
59;20180516,23:33:11.557,sent packet '60';20180516,23:33:11.571,unicast message '60' received from 2D:C8;20180516;23:33:11.557;sent packet '60';20180516;23:33:11.571;unicast message '60' received from 2D:C8;14000000
60;20180516,23:33:12.553,sent packet '61';20180516,23:33:12.567,unicast message '61' received from 2D:C8;20180516;23:33:12.553;sent packet '61';20180516;23:33:12.567;unicast message '61' received from 2D:C8;14000000
61;20180516,23:33:13.550,sent packet '62';20180516,23:33:13.564,unicast message '62' received from 2D:C8;20180516;23:33:13.550;sent packet '62';20180516;23:33:13.564;unicast message '62' received from 2D:C8;14000000
62;20180516,23:33:14.547,sent packet '63';20180516,23:33:14.560,unicast message '63' received from 2D:C8;20180516;23:33:14.547;sent packet '63';20180516;23:33:14.560;unicast message '63' received from 2D:C8;13000000
63;20180516,23:33:15.543,sent packet '64';20180516,23:33:15.557,unicast message '64' received from 2D:C8;20180516;23:33:15.543;sent packet '64';20180516;23:33:15.557;unicast message '64' received from 2D:C8;14000000
64;20180516,23:33:16.540,sent packet '65';20180516,23:33:16.553,unicast message '65' received from 2D:C8;20180516;23:33:16.540;sent packet '65';20180516;23:33:16.553;unicast message '65' received from 2D:C8;13000000
65;20180516,23:33:17.536,sent packet '66';20180516,23:33:17.550,unicast message '66' received from 2D:C8;20180516;23:33:17.536;sent packet '66';20180516;23:33:17.550;unicast message '66' received from 2D:C8;14000000
66;20180516,23:33:18.533,sent packet '67';20180516,23:33:18.547,unicast message '67' received from 2D:C8;20180516;23:33:18.533;sent packet '67';20180516;23:33:18.547;unicast message '67' received from 2D:C8;14000000
67;20180516,23:33:19.529,sent packet '68';20180516,23:33:19.543,unicast message '68' received from 2D:C8;20180516;23:33:19.529;sent packet '68';20180516;23:33:19.543;unicast message '68' received from 2D:C8;14000000
68;20180516,23:33:20.526,sent packet '69';20180516,23:33:20.540,unicast message '69' received from 2D:C8;20180516;23:33:20.526;sent packet '69';20180516;23:33:20.540;unicast message '69' received from 2D:C8;14000000
69;20180516,23:33:21.522,sent packet '70';20180516,23:33:21.536,unicast message '70' received from 2D:C8;20180516;23:33:21.522;sent packet '70';20180516;23:33:21.536;unicast message '70' received from 2D:C8;14000000
70;20180516,23:33:22.519,sent packet '71';20180516,23:33:22.534,unicast message '71' received from 2D:C8;20180516;23:33:22.519;sent packet '71';20180516;23:33:22.534;unicast message '71' received from 2D:C8;15000000
71;20180516,23:33:23.515,sent packet '72';20180516,23:33:23.529,unicast message '72' received from 2D:C8;20180516;23:33:23.515;sent packet '72';20180516;23:33:23.529;unicast message '72' received from 2D:C8;14000000
